Idx	AddrHex	AddrDec	Hex	Byte_1	Byte_2	UInt16	Int16	Chr	Bin
534	0x0216	534	00 64	0	100	100	100		0000 0000 0110 0100
535	0x0217	535	00 14	0	20	20	20		0000 0000 0001 0100
536	0x0218	536	00 01	0	1	1	1		0000 0000 0000 0001
537	0x0219	537	0E 10	14	16	3600	3600		0000 1110 0001 0000
538	0x021a	538	00 14	0	20	20	20		0000 0000 0001 0100
539	0x021b	539	00 05	0	5	5	5		0000 0000 0000 0101
541	0x021d	541	00 01	0	1	1	1		0000 0000 0000 0001
543	0x021f	543	00 01	0	1	1	1		0000 0000 0000 0001
544	0x0220	544	00 01	0	1	1	1		0000 0000 0000 0001
545	0x0221	545	00 32	0	50	50	50		0000 0000 0011 0010
546	0x0222	546	00 01	0	1	1	1		0000 0000 0000 0001
547	0x0223	547	00 96	0	150	150	150		0000 0000 1001 0110
548	0x0224	548	00 0A	0	10	10	10		0000 0000 0000 1010
553	0x0229	553	01 90	1	144	400	400		0000 0001 1001 0000
554	0x022a	554	00 D3	0	211	211	211		0000 0000 1101 0011
555	0x022b	555	00 1E	0	30	30	30		0000 0000 0001 1110
556	0x022c	556	00 B5	0	181	181	181		0000 0000 1011 0101
557	0x022d	557	00 96	0	150	150	150		0000 0000 1001 0110
558	0x022e	558	00 14	0	20	20	20		0000 0000 0001 0100
559	0x022f	559	17 70	23	112	6000	6000		0001 0111 0111 0000
560	0x0230	560	1F 40	31	64	8000	8000		0001 1111 0100 0000
561	0x0231	561	00 01	0	1	1	1		0000 0000 0000 0001
562	0x0232	562	00 01	0	1	1	1		0000 0000 0000 0001
565	0x0235	565	00 01	0	1	1	1		0000 0000 0000 0001
566	0x0236	566	00 01	0	1	1	1		0000 0000 0000 0001
567	0x0237	567	00 01	0	1	1	1		0000 0000 0000 0001
568	0x0238	568	00 01	0	1	1	1		0000 0000 0000 0001
569	0x0239	569	00 02	0	2	2	2		0000 0000 0000 0010
570	0x023a	570	00 01	0	1	1	1		0000 0000 0000 0001
571	0x023b	571	00 B4	0	180	180	180		0000 0000 1011 0100
572	0x023c	572	00 0A	0	10	10	10		0000 0000 0000 1010
574	0x023e	574	01 90	1	144	400	400		0000 0001 1001 0000
575	0x023f	575	03 DE	3	222	990	990		0000 0011 1101 1110
578	0x0242	578	00 01	0	1	1	1		0000 0000 0000 0001
580	0x0244	580	00 0E	0	14	14	14		0000 0000 0000 1110
581	0x0245	581	00 01	0	1	1	1		0000 0000 0000 0001
583	0x0247	583	27 10	39	16	10000	10000		0010 0111 0001 0000
585	0x0249	585	27 10	39	16	10000	10000		0010 0111 0001 0000
589	0x024d	589	00 32	0	50	50	50		0000 0000 0011 0010
590	0x024e	590	0E 10	14	16	3600	3600		0000 1110 0001 0000
592	0x0250	592	00 32	0	50	50	50		0000 0000 0011 0010
593	0x0251	593	0E 10	14	16	3600	3600		0000 1110 0001 0000
595	0x0253	595	00 3C	0	60	60	60		0000 0000 0011 1100
597	0x0255	597	00 3C	0	60	60	60		0000 0000 0011 1100
606	0x025e	606	00 03	0	3	3	3		0000 0000 0000 0011
608	0x0260	608	01 F4	1	244	500	500		0000 0001 1111 0100
609	0x0261	609	00 05	0	5	5	5		0000 0000 0000 0101
613	0x0265	613	02 8A	2	138	650	650		0000 0010 1000 1010
614	0x0266	614	00 0A	0	10	10	10		0000 0000 0000 1010
616	0x0268	616	00 01	0	1	1	1		0000 0000 0000 0001
617	0x0269	617	00 03	0	3	3	3		0000 0000 0000 0011
618	0x026a	618	FF 2E	255	46	65326	-210		1111 1111 0010 1110
619	0x026b	619	FF 6A	255	106	65386	-150		1111 1111 0110 1010
620	0x026c	620	01 2C	1	44	300	300		0000 0001 0010 1100
621	0x026d	621	00 28	0	40	40	40		0000 0000 0010 1000
622	0x026e	622	00 05	0	5	5	5		0000 0000 0000 0101
623	0x026f	623	00 0A	0	10	10	10		0000 0000 0000 1010
624	0x0270	624	FF 2E	255	46	65326	-210		1111 1111 0010 1110
625	0x0271	625	FF B0	255	176	65456	-80		1111 1111 1011 0000
626	0x0272	626	01 90	1	144	400	400		0000 0001 1001 0000
627	0x0273	627	00 32	0	50	50	50		0000 0000 0011 0010
628	0x0274	628	02 3A	2	58	570	570		0000 0010 0011 1010
640	0x0280	640	00 01	0	1	1	1		0000 0000 0000 0001
641	0x0281	641	00 01	0	1	1	1		0000 0000 0000 0001
650	0x028a	650	01 90	1	144	400	400		0000 0001 1001 0000
653	0x028d	653	00 0F	0	15	15	15		0000 0000 0000 1111
654	0x028e	654	00 0A	0	10	10	10		0000 0000 0000 1010
657	0x0291	657	00 01	0	1	1	1		0000 0000 0000 0001
658	0x0292	658	00 01	0	1	1	1		0000 0000 0000 0001
659	0x0293	659	00 32	0	50	50	50		0000 0000 0011 0010
699	0x02bb	699	02 26	2	38	550	550		0000 0010 0010 0110
700	0x02bc	700	00 0A	0	10	10	10		0000 0000 0000 1010
702	0x02be	702	00 01	0	1	1	1		0000 0000 0000 0001
703	0x02bf	703	00 03	0	3	3	3		0000 0000 0000 0011
704	0x02c0	704	00 0A	0	10	10	10		0000 0000 0000 1010
705	0x02c1	705	00 82	0	130	130	130		0000 0000 1000 0010
706	0x02c2	706	00 6E	0	110	110	110		0000 0000 0110 1110
709	0x02c5	709	27 0F	39	15	9999	9999		0010 0111 0000 1111
710	0x02c6	710	D8 F1	216	241	55537	-9999		1101 1000 1111 0001
711	0x02c7	711	00 0F	0	15	15	15		0000 0000 0000 1111
800	0x0320	800	03 E7	3	231	999	999		0000 0011 1110 0111
801	0x0321	801	00 F0	0	240	240	240		0000 0000 1111 0000
802	0x0322	802	00 1E	0	30	30	30		0000 0000 0001 1110
804	0x0324	804	00 1E	0	30	30	30		0000 0000 0001 1110
805	0x0325	805	07 08	7	8	1800	1800		0000 0111 0000 1000
806	0x0326	806	00 03	0	3	3	3		0000 0000 0000 0011
851	0x0353	851	00 01	0	1	1	1		0000 0000 0000 0001
965	0x03c5	965	01 F4	1	244	500	500		0000 0001 1111 0100
999	0x03e7	999	11 28	17	40	4392	4392		0001 0001 0010 1000
1016	0x03f8	1016	00 28	0	40	40	40		0000 0000 0010 1000
1099	0x044b	1099	00 01	0	1	1	1		0000 0000 0000 0001
1302	0x0516	1302	00 03	0	3	3	3		0000 0000 0000 0011
1303	0x0517	1303	00 03	0	3	3	3		0000 0000 0000 0011
1304	0x0518	1304	00 03	0	3	3	3		0000 0000 0000 0011
1400	0x0578	1400	01 5E	1	94	350	350		0000 0001 0101 1110
1404	0x057c	1404	00 01	0	1	1	1		0000 0000 0000 0001
1405	0x057d	1405	15 18	21	24	5400	5400		0001 0101 0001 1000
1407	0x057f	1407	04 B0	4	176	1200	1200		0000 0100 1011 0000
1409	0x0581	1409	00 28	0	40	40	40		0000 0000 0010 1000
1411	0x0583	1411	05 DC	5	220	1500	1500		0000 0101 1101 1100
1412	0x0584	1412	00 01	0	1	1	1		0000 0000 0000 0001
1999	0x07cf	1999	00 05	0	5	5	5		0000 0000 0000 0101
2001	0x07d1	2001	00 D3	0	211	211	211		0000 0000 1101 0011
2002	0x07d2	2002	03 B6	3	182	950	950		0000 0011 1011 0110
2003	0x07d3	2003	01 F0	1	240	496	496		0000 0001 1111 0000
2004	0x07d4	2004	01 C7	1	199	455	455		0000 0001 1100 0111
2057	0x0809	2057	00 01	0	1	1	1		0000 0000 0000 0001
3000	0x0bb8	3000	00 01	0	1	1	1		0000 0000 0000 0001
3001	0x0bb9	3001	00 18	0	24	24	24		0000 0000 0001 1000
